timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-09-03 14:00:00+00:00,2024-09-03 10:00:00,Tuesday,112.93,113.5258,109.61,109.765,93452272.0,0.0,
2024-09-03 15:00:00+00:00,2024-09-03 11:00:00,Tuesday,109.77,111.68,109.395,110.36,54140314.0,0.005420671434428037,0.005406032473199041
2024-09-03 16:00:00+00:00,2024-09-03 12:00:00,Tuesday,110.3502,110.84,109.8,110.17,38108400.0,0.0036897007242746582,-0.001723121997111221
2024-09-03 17:00:00+00:00,2024-09-03 13:00:00,Tuesday,110.175,110.725,109.57,109.585,29485372.0,-0.0016398669885665518,-0.005324123518291479
2024-09-03 18:00:00+00:00,2024-09-03 14:00:00,Tuesday,109.59,109.64,108.01,108.82,55850673.0,-0.008609301689974092,-0.0070053627759030235
2024-09-03 19:00:00+00:00,2024-09-03 15:00:00,Tuesday,108.818,109.21,107.29,108.02,72949207.0,-0.015897599416936248,-0.007378745893034555
2024-09-03 20:00:00+00:00,2024-09-03 16:00:00,Tuesday,108.03,108.05,105.15,105.47,12591503.0,-0.03912904842162801,-0.023889842876221756
2024-09-04 14:00:00+00:00,2024-09-04 10:00:00,Wednesday,106.95,109.785,105.51,109.665,74310156.0,-0.0009110372158702695,0.039003712124865864
2024-09-04 15:00:00+00:00,2024-09-04 11:00:00,Wednesday,109.6684,109.99,107.52,107.905,46730454.0,-0.016945292215187036,-0.016179054019962003
2024-09-04 16:00:00+00:00,2024-09-04 12:00:00,Wednesday,107.895,109.19,107.61,108.92,28304764.0,-0.007698264474103711,0.009362457412132486
2024-09-04 17:00:00+00:00,2024-09-04 13:00:00,Wednesday,108.92,109.51,108.68,108.7106,25100163.0,-0.009605976404136074,-0.0019243623334253002
2024-09-04 18:00:00+00:00,2024-09-04 14:00:00,Wednesday,108.715,108.77,106.11,106.1999,35170775.0,-0.032479387782990976,-0.023366138284324656
2024-09-04 19:00:00+00:00,2024-09-04 15:00:00,Wednesday,106.195,106.99,105.4,106.17,55594254.0,-0.03275178791053612,-0.0002815841623275972
2024-09-04 20:00:00+00:00,2024-09-04 16:00:00,Wednesday,106.17,106.61,105.61,106.58,3043528.0,-0.029016535325468107,0.0038542938431547213
