timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-11-11 15:00:00+00:00,2024-11-11 10:00:00,Monday,143.96,146.49,143.57,146.21,37551632.0,0.0,
2024-11-11 16:00:00+00:00,2024-11-11 11:00:00,Monday,146.21,146.25,145.1,145.33,16992297.0,-0.006018740168251102,-0.006036925791267578
2024-11-11 17:00:00+00:00,2024-11-11 12:00:00,Monday,145.32,145.6,144.695,145.32,15655813.0,-0.006087134942890482,-6.881128507796319e-05
2024-11-11 18:00:00+00:00,2024-11-11 13:00:00,Monday,145.31,145.322,144.47,144.8716,13144384.0,-0.009153956637712901,-0.0030903744758088436
2024-11-11 19:00:00+00:00,2024-11-11 14:00:00,Monday,144.88,145.29,144.63,145.06,11538310.0,-0.007865399083510027,0.0012996170580743538
2024-11-11 20:00:00+00:00,2024-11-11 15:00:00,Monday,145.055,145.9,144.885,145.28,19833837.0,-0.006360714041447335,0.0015154649177171464
2024-11-11 21:00:00+00:00,2024-11-11 16:00:00,Monday,145.26,145.42,145.0,145.28,2891463.0,-0.006360714041447335,0.0
2024-11-12 15:00:00+00:00,2024-11-12 10:00:00,Tuesday,147.88,149.65,147.62,148.31,41081661.0,0.014362902674235567,0.020641762900887706
2024-11-12 16:00:00+00:00,2024-11-12 11:00:00,Tuesday,148.32,149.37,147.93,148.5901,22793681.0,0.0162786403118802,0.00188683050695726
2024-11-12 17:00:00+00:00,2024-11-12 12:00:00,Tuesday,148.59,148.67,146.83,146.93,18425422.0,0.0049244237740235786,-0.011235225372973723
2024-11-12 18:00:00+00:00,2024-11-12 13:00:00,Tuesday,146.94,148.4198,146.58,148.12,17381516.0,0.013063401956090459,0.008066473157557041
2024-11-12 19:00:00+00:00,2024-11-12 14:00:00,Tuesday,148.11,148.7451,147.705,148.5,13059073.0,0.015662403392380675,0.0025622021973426
2024-11-12 20:00:00+00:00,2024-11-12 15:00:00,Tuesday,148.51,148.58,147.55,148.39,20943560.0,0.014910060871349273,-0.0007410152247198099
2024-11-12 21:00:00+00:00,2024-11-12 16:00:00,Tuesday,148.29,148.43,148.15,148.2,5568404.0,0.013610560153204165,-0.0012812301560485295
2024-11-13 15:00:00+00:00,2024-11-13 10:00:00,Wednesday,148.04,148.1,146.55,147.1897,27856860.0,0.00670063607140392,-0.006840481841509316
2024-11-13 16:00:00+00:00,2024-11-13 11:00:00,Wednesday,147.19,147.49,145.9,146.785,22027279.0,0.003932699541755014,-0.0027532998972885636
2024-11-13 17:00:00+00:00,2024-11-13 12:00:00,Wednesday,146.78,147.2807,146.41,147.1925,15757063.0,0.00671978660830308,0.0027723227865807942
2024-11-13 18:00:00+00:00,2024-11-13 13:00:00,Wednesday,147.19,147.84,146.88,147.73,13316191.0,0.010396005745160863,0.003645029423747559
2024-11-13 19:00:00+00:00,2024-11-13 14:00:00,Wednesday,147.74,147.76,146.51,146.82,14538859.0,0.004172081252992177,-0.006178936650881539
2024-11-13 20:00:00+00:00,2024-11-13 15:00:00,Wednesday,146.81,147.1999,145.94,146.41,24067390.0,0.0013678954927842657,-0.002796441477244116
2024-11-13 21:00:00+00:00,2024-11-13 16:00:00,Wednesday,146.27,146.73,146.27,146.51,10747393.0,0.0020518432391765096,0.0006827803078310879
